task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
39	a7/f43411	37168469	factorize_worker (factorize_k15_worker7)	COMPLETED	0	2025-09-21 17:30:48.555	13m 37s	3m 46s	57.6%	231.1 MB	990.4 MB	36.4 MB	3.5 MB
54	55/05cff6	37168481	factorize_worker (factorize_k15_worker10)	COMPLETED	0	2025-09-21 17:30:50.954	14m 15s	2m	97.8%	230.9 MB	990.4 MB	36.4 MB	3.5 MB
55	2b/e49ae7	37168484	factorize_worker (factorize_k20_worker10)	COMPLETED	0	2025-09-21 17:30:51.556	14m 49s	2m 2s	97.3%	230.3 MB	989.9 MB	36.4 MB	3.5 MB
51	f9/16e356	37168478	factorize_worker (factorize_k25_worker9)	COMPLETED	0	2025-09-21 17:30:50.363	15m 1s	2m 43s	97.5%	230.9 MB	989.9 MB	36.4 MB	3.5 MB
48	d8/c92ceb	37168479	factorize_worker (factorize_k10_worker9)	COMPLETED	0	2025-09-21 17:30:50.558	15m	2m 44s	97.6%	230.9 MB	990.3 MB	36.4 MB	3.5 MB
49	34/8d1c9b	37168480	factorize_worker (factorize_k15_worker9)	COMPLETED	0	2025-09-21 17:30:50.757	15m	2m 42s	97.8%	230.6 MB	991 MB	36.4 MB	3.5 MB
52	40/19528c	37168482	factorize_worker (factorize_k30_worker9)	COMPLETED	0	2025-09-21 17:30:51.145	15m 30s	2m 43s	97.5%	230.4 MB	989.9 MB	36.4 MB	3.5 MB
50	b0/7a22fd	37168483	factorize_worker (factorize_k20_worker9)	COMPLETED	0	2025-09-21 17:30:51.359	15m 30s	2m 45s	97.5%	230.5 MB	990 MB	36.4 MB	3.5 MB
57	18/174154	37168485	factorize_worker (factorize_k30_worker10)	COMPLETED	0	2025-09-21 17:30:51.754	15m 29s	2m 11s	89.3%	233 MB	990.6 MB	36.4 MB	3.5 MB
56	84/264e6a	37168488	factorize_worker (factorize_k25_worker10)	COMPLETED	0	2025-09-21 17:30:52.356	15m 39s	1m 48s	97.6%	232.7 MB	989.5 MB	36.4 MB	3.5 MB
58	d1/8245a7	37168487	factorize_worker (factorize_k10_worker11)	COMPLETED	0	2025-09-21 17:30:52.162	15m 44s	1m 54s	97.7%	231.2 MB	990.4 MB	36.4 MB	3.5 MB
60	5a/7aeb55	37168489	factorize_worker (factorize_k20_worker11)	COMPLETED	0	2025-09-21 17:30:52.557	16m 23s	2m 9s	97.8%	230.2 MB	990 MB	36.4 MB	3.5 MB
62	12/2b2d40	37168492	factorize_worker (factorize_k30_worker11)	COMPLETED	0	2025-09-21 17:30:53.157	17m 23s	2m 9s	97.7%	230.2 MB	989.9 MB	36.4 MB	3.5 MB
59	dd/d1c91b	37168490	factorize_worker (factorize_k15_worker11)	COMPLETED	0	2025-09-21 17:30:52.755	17m 28s	2m 11s	97.5%	230.3 MB	989 MB	36.4 MB	3.5 MB
64	4e/4c995c	37168491	factorize_worker (factorize_k15_worker12)	COMPLETED	0	2025-09-21 17:30:52.955	18m 8s	2m 51s	97.5%	233.1 MB	990.4 MB	36.4 MB	3.5 MB
63	ea/03c51f	37168493	factorize_worker (factorize_k10_worker12)	COMPLETED	0	2025-09-21 17:30:53.402	18m 8s	2m 51s	97.7%	230.8 MB	990.2 MB	36.4 MB	3.5 MB
67	ea/cfbc65	37168494	factorize_worker (factorize_k30_worker12)	COMPLETED	0	2025-09-21 17:30:53.559	18m 37s	2m 50s	97.6%	230.6 MB	990 MB	36.4 MB	3.5 MB
69	75/df3dfb	37168498	factorize_worker (factorize_k15_worker13)	COMPLETED	0	2025-09-21 17:30:54.360	18m 42s	2m 53s	97.7%	230.9 MB	990.3 MB	36.4 MB	3.5 MB
53	06/f1239d	37168486	factorize_worker (factorize_k10_worker10)	COMPLETED	0	2025-09-21 17:30:51.954	19m 19s	5m 55s	33.3%	230.5 MB	989.9 MB	36.4 MB	3.5 MB
66	a8/18c875	37168497	factorize_worker (factorize_k25_worker12)	COMPLETED	0	2025-09-21 17:30:54.155	19m 37s	3m 46s	64.3%	233.1 MB	990.4 MB	36.4 MB	3.5 MB
72	b0/ac76f6	37168499	factorize_worker (factorize_k30_worker13)	COMPLETED	0	2025-09-21 17:30:54.557	19m 36s	2m 50s	97.9%	230.6 MB	990.1 MB	36.4 MB	3.5 MB
